"MaxLinear, Inc.",XRP7665IDBTR-F,3000,1,0.5645,10,0.4292,100,0.3805,1000,0.3643,10000,0.3643
Exar,XRP7664IDTR-F,3000,1,,10,,100,,1000,,10000,
Exar Corporation,XRP7664IDTR-F,3000,1,,10,,100,,1000,,10000,
"MaxLinear, Inc.",XRP7664IDTR-F,3000,1,0.4959,10,0.3697,100,0.3228,1000,0.3084,10000,0.3084
Exar Corporation,XRP7659ISTR-F,3000,1,,10,,100,,1000,,10000,
MAXLINEAR INC,XRP7659ISTR-F,3000,1,,10,,100,,1000,,10000,
"MaxLinear, Inc.",XRP7659ISTR-F,3000,1,,10,,100,,1000,,10000,
Exar,XRP6658ISTR-F,3000,1,,10,,100,,1000,,10000,
Exar Corporation,XRP6658ISTR-F,3000,1,,10,,100,,1000,,10000,
"MaxLinear, Inc.",XRP6658ISTR-F,3000,1,,10,,100,,1000,,10000,
Exar Corporation,XRP6272IDBTR-F,3000,1,,10,,100,,1000,,10000,
"MaxLinear, Inc.",XRP6272IDBTR-F,3000,1,,10,,100,,1000,,10000,
Exar Corporation,XRP29302ETBTR-L,3000,1,,10,,100,,1000,,10000,
"MaxLinear, Inc.",XRP29302ETBTR-L,3000,1,,10,,100,,1000,,10000,
Exar Corporation,XRP2523ISTR-F,3000,1,,10,,100,,1000,,10000,
"MaxLinear, Inc.",XRP2523ISTR-F,3000,1,,10,,100,,1000,,10000,
Murata Electronics,XRCMD32M000FXP50R0,3000,1,,10,,100,,1000,,10000,
Murata Electronics,XRCGB27M120F3M00R0,3000,1,0.2075,10,0.1517,100,0.1313,1000,0.1245,10000,0.1245
Exar,XR46084ESFTR-ADJ,3000,1,,10,,100,,1000,,10000,
Exar Corporation,XR46084ESFTR-ADJ,3000,1,,10,,100,,1000,,10000,
"MaxLinear, Inc.",XR46084ESFTR-ADJ,3000,1,0.3585,10,0.2738,100,0.2427,1000,0.2324,10000,0.2324
Exar,XR46000ESETR,3000,1,,10,,100,,1000,,10000,
Exar Corporation,XR46000ESETR,3000,1,,10,,100,,1000,,10000,
"MaxLinear, Inc.",XR46000ESETR,3000,1,,10,,100,,1000,,10000,
Exar,XR21V1414IM48TR-F,3000,1,,10,,100,,1000,,10000,
Exar Corporation,XR21V1414IM48TR-F,3000,1,,10,,100,,1000,,10000,
"MaxLinear, Inc.",XR21V1414IM48TR-F,3000,1,,10,,100,,1000,,10000,
Exar,XR21V1410IL16-F,3000,1,,10,,100,,1000,,10000,
Exar Corporation,XR21V1410IL16-F,3000,1,,10,,100,,1000,,10000,
"MaxLinear, Inc.",XR21V1410IL16-F,3000,1,,10,,100,,1000,,10000,
Exar Corporation,XR20M1172IG28TR-F,3000,1,,10,,100,,1000,,10000,
"MaxLinear, Inc.",XR20M1172IG28TR-F,3000,1,3.5273,10,3.1089,100,2.9538,1000,2.8781,10000,2.8781
Exar,XR16V554IV-F,3000,1,,10,,100,,1000,,10000,
Exar Corporation,XR16V554IV-F,3000,1,,10,,100,,1000,,10000,
"MaxLinear, Inc.",XR16V554IV-F,3000,1,,10,,100,,1000,,10000,
Exar,XR16L2550IM-F,3000,1,,10,,100,,1000,,10000,
Exar Corporation,XR16L2550IM-F,3000,1,,10,,100,,1000,,10000,
"MaxLinear, Inc.",XR16L2550IM-F,3000,1,4.8923,10,4.2323,100,3.9889,1000,3.8681,10000,3.8681
Xilinx,XQV600-4CB228M,3000,1,,10,,100,,1000,,10000,
Xilinx,XQV300-4PQ240N,3000,1,,10,,100,,1000,,10000,
Xilinx,XQV300-4CB228M,3000,1,,10,,100,,1000,,10000,
Xilinx,XQV300-4BG352N,3000,1,,10,,100,,1000,,10000,
Xilinx,XQV100-4PQ240N,3000,1,,10,,100,,1000,,10000,
Xilinx,XQV100-4CB228M,3000,1,,10,,100,,1000,,10000,
Xilinx,XQV100-4BG256N,3000,1,,10,,100,,1000,,10000,
Xilinx,XQV1000-4BG560N,3000,1,,10,,100,,1000,,10000,
Xilinx,XQR5VFX130-1CN1752B,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6VSX475T-1RF1156I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6VSX475T-1FFG1156I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6VSX315T-2RF1156I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6VSX315T-1RF1759M,3000,1,,10,,100,,1000,,10000,
